veg.type,distance.all,count,accumulated
HE,0.125,11,11
HE,0.5,10,21
HE,1.25,12,33
HE,2,1,34
HE,3,5,39
HE,4,1,40
HE,6,2,42
HE,7,1,43
HE,9,2,45
HE,10,1,46
HE,14,1,47
HE,15,1,48
HE,42,1,49
HE,50,4,53
HE,57,1,54
HE,89,1,55
KO,0.125,6,6
KO,0.5,14,20
KO,1.25,7,27
KO,5,1,28
KO,6,2,24
KO,7,1,31
KO,9,1,32
KO,11,1,33
KO,12,1,34
KO,15,4,38
KO,16,1,39
KO,22,3,42
KO,25,1,43
KO,28,1,44
KO,31,2,46
KO,34,2,48
KO,48,1,49
KO,51,1,50
KO,52,1,51
KO,53,1,52
KO,55,2,54
KO,56,1,55
KO,57,1,56
KO,59,1,57
KO,63,1,58
KO,65,1,59
KO,91,2,61
KO,92,1,62
KO,97,1,63
KO,104,1,64
