"","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","modelName"
"1","(Intercept)",2.6905020953018,-0.0129935282311635,5.43413348922331,7285.57517654255,0.05375,"fixed","Herschel canopy height"
"2","I(YEAR - 1998)",0.591039076158291,0.400597046624171,0.772781259830481,8000.00000000001,0.000250000000000083,"fixed","Herschel canopy height"
"3","YEAR",2.06308104136862,0.176218968618619,5.18491296651457,8427.00548494041,NA,"random","Herschel canopy height"
"4","PLOT",1.02531145864334,0.0863346092759202,2.77857503621891,7721.47281115037,NA,"random","Herschel canopy height"
"5","units",2.1412273817499,1.25056231803164,3.25782495535637,8000,NA,"residual","Herschel canopy height"
"6","(Intercept)",1.15317503918124,-0.798208457337751,3.11932238070585,7660.8225192177,0.2265,"fixed","Komakuk canopy height"
"7","I(YEAR - 1998)",0.309741039666366,0.194873360349447,0.425674748767051,8657.26827679581,0.000125,"fixed","Komakuk canopy height"
"8","YEAR",0.544473524051648,0.0650875859529116,1.46010912201736,7999.99999999999,NA,"random","Komakuk canopy height"
"9","PLOT",1.60821215074147,0.128313728200333,4.29239534943698,8000.00000000001,NA,"random","Komakuk canopy height"
"10","units",2.71995307766382,1.65091584163965,4.03282124102918,8000.00000000001,NA,"residual","Komakuk canopy height"
"11","(Intercept)",3.90444813937514,1.39979165406839,6.32251427852316,8000.00000000001,0.00499999999999989,"fixed","Salix canopy height"
"12","I(YEAR - 1998)",0.417136483715125,0.293053441739175,0.549323515631841,8000.00000000003,0.000125,"fixed","Salix canopy height"
"13","YEAR",0.968966525517546,0.128682775712363,2.41379616201383,8000.00000000002,NA,"random","Salix canopy height"
"14","PLOT",3.59976285102973,0.607020213804448,9.14055296455299,8000.00000000002,NA,"random","Salix canopy height"
"15","units",20.6197294936835,18.9354367246189,22.3974069903474,8000.00000000002,NA,"residual","Salix canopy height"
"16","(Intercept)",0.430704117249169,0.235082370993041,0.626319918897934,8000.00000000001,0.000499999999999945,"fixed","Salric radial growth"
"17","I(Year - 1973)",-0.00478562225474554,-0.010726778418757,0.000914241158170626,8000.00000000002,0.097,"fixed","Salric radial growth"
"18","Year",0.0368119728655821,0.0218738424239439,0.0552984134412098,8000.00000000002,NA,"random","Salric radial growth"
"19","IndivUN",0.094506689687039,0.0476271134926466,0.154799982213565,8000,NA,"random","Salric radial growth"
"20","units",0.0352582410620181,0.0303355907675946,0.0403583680421188,8000,NA,"residual","Salric radial growth"
"21","(Intercept)",0.211029687934401,0.0482616110457457,0.373068158134629,8000.00000000001,0.00974999999999993,"fixed","Salpul radial growth"
"22","I(Year - 1973)",-0.000331617463382513,-0.00540424229984637,0.0043299812823534,8000.00000000001,0.8915,"fixed","Salpul radial growth"
"23","Year",0.0307955985899224,0.0185646409372806,0.0461700292832662,7999.99999999999,NA,"random","Salpul radial growth"
"24","IndivUN",0.0621325382641219,0.0287559725751228,0.102635495454846,7999.99999999997,NA,"random","Salpul radial growth"
"25","units",0.0117430824823826,0.00999068041583627,0.0135787887611796,7731.88176368619,NA,"residual","Salpul radial growth"
"26","(Intercept)",0.466689352343268,0.188429129761062,0.746722927258816,8927.94041197632,0.00225000000000009,"fixed","Salarc radial growth"
"27","I(Year - 1973)",-0.00142583938390955,-0.0101747642584087,0.00712345769716194,8000.00000000006,0.7335,"fixed","Salarc radial growth"
"28","Year",0.0466440124112861,0.0253249738966679,0.0699849871078723,7676.53193961296,NA,"random","Salarc radial growth"
"29","IndivUN",0.15612839611898,0.057636245194207,0.280191070527763,7437.7825745092,NA,"random","Salarc radial growth"
"30","units",0.0324810736712955,0.0263598609111708,0.0391130151487455,7999.99999999998,NA,"residual","Salarc radial growth"
"31","(Intercept)",0.461034904507307,0.0648203559858302,0.873172331281239,8000.00000000002,0.0329999999999999,"fixed","Salgla radial growth"
"32","I(Year - 1973)",0.0021320090867325,-0.00625222396774916,0.0107676264742622,8391.57514397739,0.608,"fixed","Salgla radial growth"
"33","Year",0.0478289304952168,0.0256019521598279,0.0731218305072363,8000.00000000003,NA,"random","Salgla radial growth"
"34","IndivUN",0.231401874302309,0.0449995853738477,0.533640742800275,8000.00000000004,NA,"random","Salgla radial growth"
"35","units",0.0356487417203312,0.0255463937452835,0.0456676396040713,9047.52010729418,NA,"residual","Salgla radial growth"
"36","(Intercept)",1.94540182612507,-0.469614249719598,4.35602884858963,8000.00000000001,0.10075,"fixed","Herschel biomass(veg cover index)"
"37","I(YEAR - 1998)",0.263911242168727,0.101395932084415,0.432890156793292,7999.99999999997,0.00774999999999992,"fixed","Herschel biomass(veg cover index)"
"38","YEAR",1.90103199960948,0.367540801375749,4.46108697074033,8000.00000000005,NA,"random","Herschel biomass(veg cover index)"
"39","PLOT",0.67691577063138,0.102661119528537,1.69581855881319,8000.00000000001,NA,"random","Herschel biomass(veg cover index)"
"40","units",0.415174396869896,0.234042151422466,0.622679796655345,8000,NA,"residual","Herschel biomass(veg cover index)"
"41","(Intercept)",1.54648293565093,0.278576130993315,2.78814492624952,8000.00000000001,0.0235000000000001,"fixed","Komakuk biomass(veg cover index)"
"42","I(YEAR - 1998)",0.106514466640582,0.0271985651779687,0.185650198709482,7999.99999999996,0.018,"fixed","Komakuk biomass(veg cover index)"
"43","YEAR",0.399045892026024,0.0746526367579514,0.951638955006738,8000.00000000001,NA,"random","Komakuk biomass(veg cover index)"
"44","PLOT",0.442482916417134,0.0620816890257313,1.09020566266798,8000.00000000001,NA,"random","Komakuk biomass(veg cover index)"
"45","units",0.395360732419344,0.221910174627385,0.583874586572293,8394.88017461549,NA,"residual","Komakuk biomass(veg cover index)"
"46","(Intercept)",-2.62190043821621,-4.97757146885124,-0.177807573010796,5013.4946667179,0.04375,"fixed","Herschel bareground"
"47","I(YEAR - 1998)",-0.184520076284542,-0.362569312899723,-0.0327097658082494,583.362925831664,0.0235,"fixed","Herschel bareground"
"48","YEAR",1.56366012718202,0.108800331431899,4.63628960432079,187.212461273836,NA,"random","Herschel bareground"
"49","PLOT",1.40855863360449,0.134968505536666,3.80738014909436,2053.63130910117,NA,"random","Herschel bareground"
"50","units",0.348649774336374,0.000203554737303383,1.1172566261768,115.559494344601,NA,"residual","Herschel bareground"
"51","(Intercept)",-1.57682180019406,-2.64398385916138,-0.503592800465412,8000,0.007,"fixed","Komakuk bareground"
"52","I(YEAR - 1998)",-0.0649190486974063,-0.133033584483201,0.003587965387851,8000.00000000002,0.0585,"fixed","Komakuk bareground"
"53","YEAR",0.278214319258275,0.0572519237532396,0.650666562493541,8273.88493734008,NA,"random","Komakuk bareground"
"54","PLOT",0.349818173287913,0.0563719091843594,0.868546975640182,8920.87748367242,NA,"random","Komakuk bareground"
"55","units",0.273166324668293,0.096279626891619,0.492776024117713,4896.67212579431,NA,"residual","Komakuk bareground"
"56","(Intercept)",0.915634366025083,-0.00270519804325886,1.85517815634375,6868.5681218057,0.0509999999999999,"fixed","Herschel evenness"
"57","I(year - 1998)",-0.000794485180296446,-0.0564996149623767,0.0565422305371612,6971.49765530775,0.96875,"fixed","Herschel evenness"
"58","year",0.225778432212673,0.043232622572988,0.523933155130209,7999.99999999998,NA,"random","Herschel evenness"
"59","plot",0.301841003518638,0.0522684412133063,0.736444035698295,8000.00000000004,NA,"random","Herschel evenness"
"60","units",0.00277457815518915,0.000155432876842893,0.00805818498966534,1229.07094922882,NA,"residual","Herschel evenness"
"61","(Intercept)",0.897592384426439,-0.0419169809174491,1.75566180155511,7393.99417120674,0.0529999999999999,"fixed","Komakuk evenness"
"62","I(year - 1998)",-0.00924741514921745,-0.0633626137278043,0.0480204267805675,7486.10225370802,0.72125,"fixed","Komakuk evenness"
"63","year",0.213278802010227,0.0474671675918197,0.506308046122125,7999.99999999998,NA,"random","Komakuk evenness"
"64","plot",0.281679292238121,0.0459243655748984,0.674450968246024,8000,NA,"random","Komakuk evenness"
"65","units",0.00676374070013361,0.000194777630219563,0.0211599398860659,941.719953834165,NA,"residual","Komakuk evenness"
"66","(Intercept)",-0.0277822462385566,-1.35625746729784,1.31959681979788,8082.85595527456,0.96775,"fixed","Herschel plots evag"
"67","I(year - 1998)",0.0950947178421527,0.0207532931526657,0.167518615266999,7999.99999999996,0.02,"fixed","Herschel plots evag"
"68","year",0.354800859869987,0.0684331862070006,0.85589322934736,8000,NA,"random","Herschel plots evag"
"69","plot",1.07818161435771,0.183965444750035,2.60567167117596,8000,NA,"random","Herschel plots evag"
"70","units",0.0818173526440802,0.0136018587925562,0.165007573192529,3163.38324464769,NA,"residual","Herschel plots evag"
"71","(Intercept)",-1.65824204268701,-2.7508002883842,-0.630749230855145,7300.78610750589,0.00825,"fixed","Herschel plots salpul"
"72","I(year - 1998)",0.0523872017116157,-0.00733240353292786,0.115360225492623,8000.00000000002,0.0882499999999999,"fixed","Herschel plots salpul"
"73","year",0.261874058129807,0.0492690023338626,0.613329593275881,8000,NA,"random","Herschel plots salpul"
"74","plot",0.536233024253627,0.0956658870988435,1.3020264316213,7630.35928619247,NA,"random","Herschel plots salpul"
"75","units",0.0234806549455773,0.000169134533427617,0.0602985467492012,1021.33468028069,NA,"residual","Herschel plots salpul"
"76","(Intercept)",-7.79201494657908,-12.1298728557304,-3.92422256466671,5009.74095267733,0.00225,"fixed","Komakuk plots arclat"
"77","I(year - 1998)",0.201917807424152,0.0070996575668687,0.417208771628793,5921.06554585491,0.05325,"fixed","Komakuk plots arclat"
"78","year",1.47951451504959,0.0882690693899773,4.37433184153856,6212.69838678653,NA,"random","Komakuk plots arclat"
"79","plot",11.5236085874421,1.25327858998089,29.902742360715,6445.87213714772,NA,"random","Komakuk plots arclat"
"80","units",4.51412931006692,1.42712988965067,8.57148841674247,1898.08331374225,NA,"residual","Komakuk plots arclat"
"81","(Intercept)",-33.4783672683019,-53.931912114549,-15.5605475545744,124.013708158224,0.000125,"fixed","Komakuk plots aloalp"
"82","I(year - 1998)",1.57297149502742,0.635655524587492,2.65287787813577,131.527212212536,0.000250000000000083,"fixed","Komakuk plots aloalp"
"83","year",2.21578645033333,0.072690543507694,7.97648349148396,2249.56676190537,NA,"random","Komakuk plots aloalp"
"84","plot",59.7846078227824,0.141591535722456,194.450298014742,350.041155313002,NA,"random","Komakuk plots aloalp"
"85","units",14.8238634056236,3.44500763651287,32.6278229859994,473.514446900809,NA,"residual","Komakuk plots aloalp"
"86","(Intercept)",-10.1893998123217,-12.0900235536101,-8.38393103532144,7999.99999999999,0.000125,"fixed","Spring"
"87","I(season - 2000)",0.20420400319862,0.0324010975018609,0.388750849153439,7999.99999999999,0.0325,"fixed","Spring"
"88","units",3.32871719550086,1.33841206406074,6.06480031219918,8085.79451320165,NA,"residual","Spring"
"89","(Intercept)",5.27342672694109,3.75826425498963,6.89150425193657,8000.00000000004,0.000125,"fixed","Summer"
"90","I(season - 2000)",0.162001355882107,0.0128075450047618,0.320273544450174,7722.541219003,0.04175,"fixed","Summer"
"91","units",2.45142235296779,0.923656984808623,4.41337086694405,7819.29495586479,NA,"residual","Summer"
"92","(Intercept)",3.88178775840763,2.40133055334445,5.42065976921003,8000,0.000125,"fixed","Fall"
"93","I(season - 2000)",0.132751477515164,-0.00647776536061428,0.285164641565643,7999.99999999999,0.07175,"fixed","Fall"
"94","units",2.26688974884854,0.911220544812606,4.14482065252181,7999.99999999999,NA,"residual","Fall"
"95","(Intercept)",-19.7443284595246,-21.3260489703025,-18.0299769105623,7999.99999999999,0.000125,"fixed","Winter"
"96","I(season - 2000)",0.192386014845886,0.0342194157274207,0.352730182334199,8000.00000000002,0.0265,"fixed","Winter"
"97","units",2.68209226972241,1.09494500340708,4.88762769444616,8290.07556151815,NA,"residual","Winter"
"98","(Intercept)",288.4181898848,283.587374368828,293.234949603619,8000.00000000001,0.000125,"fixed","Frost frequency"
"99","I(year - 1979)",-0.364215159804952,-0.597420096106362,-0.136262518906733,8241.31920009265,0.00325,"fixed","Frost frequency"
"100","units",52.4877166323628,29.428517217682,78.8487207750367,8000,NA,"residual","Frost frequency"
"101","(Intercept)",149.163724899406,137.309348116003,161.219818445679,8000.00000000002,0.000125,"fixed","Snow melt days"
"102","I(Year - 2000)",-0.706975934298386,-1.38991006764627,-0.0429330679326085,7999.99999999997,0.044,"fixed","Snow melt days"
"103","units",38.7674323506671,35.3862880973021,42.3072803386069,8000.00000000001,NA,"residual","Snow melt days"
"104","(Intercept)",1.15601318553053,-0.282725398719776,2.52607727165741,7999.99999999999,0.10325,"fixed","Sea ice concentration"
"105","I(Year - 1979)",-0.112748487222984,-0.175639278511881,-0.046714448282728,7248.63446651618,5e-04,"fixed","Sea ice concentration"
"106","units",4.44979117816088,2.28774507447093,7.10597367829618,6370.71726878253,NA,"residual","Sea ice concentration"
"107","(Intercept)",-8.2001414932759,-8.38699360504688,-8.00803834493126,8000.00000000001,0.000125,"fixed","Minimum soil temperature (15 m)"
"108","squared",0.0034138977493919,0.00203769449944957,0.00476256896217819,8260.67606253209,0.000125,"fixed","Minimum soil temperature (15 m)"
"109","units",0.0676624987525914,0.0273937200472589,0.124958250106967,8000.00000000001,NA,"residual","Minimum soil temperature (15 m)"
"110","(Intercept)",30.4220632529374,9.49987767357379,53.9274165903043,8000.00000000002,0.0205,"fixed","Active layer depth"
"111","I(year - 1985)",0.710636999389317,0.145718998333905,1.22620117845872,8290.79807822985,0.01925,"fixed","Active layer depth"
"112","units",66.209189221014,57.4245324238637,75.4849756971237,7424.8937362281,NA,"residual","Active layer depth"
"113","(Intercept)",34.5766201529436,31.0267916129014,38.1077195948455,7999.99999999999,0.000125,"fixed","Species richness HE"
"114","I(year - 1998)",-0.0931804741038877,-0.341368319714093,0.150497073569568,7999.99999999999,0.39175,"fixed","Species richness HE"
"115","units",4.3436369891847,0.813372131023524,10.940975612344,7365.63658288076,NA,"residual","Species richness HE"
"116","(Intercept)",29.6674764320126,23.4789857822616,35.7288605237482,7737.74519660602,0.000125,"fixed","Species richness KO"
"117","I(year - 1998)",0.0933888641126858,-0.337570527073694,0.520063295771251,8000.00000000001,0.60475,"fixed","Species richness KO"
"118","units",12.9369149546633,2.5381858563364,31.3091637446466,8000.00000000004,NA,"residual","Species richness KO"
